obj_name,campaign,ap_start,ap_end,count,EPIC_ID,main_type,sub_type,new_obj_name,clean_name,alternate_names,PROPOSERS,IDS
Asteroid.Trojan.Leucus,111|112,200125327,200145290,2999,,asteroid-Trojan,Leucus,Asteroid.Trojan.Leucus,Leucus,11351|1997 TS25|Leucus,Parker|Ryan,GO11100|GO11051
2013 A1 (Siding Springs),2,200001787,200004369,2583,,comet,2013 A1 (Siding Springs),2013 A1 (Siding Springs),2013 A1 (Siding Springs),Siding Spring,Lisse|Kelley,GO2046|GO2030
Churyumov-Gerasimenko,10,200081804,200084003,2200,,comet,67P/Churyumov-Gerasimenko,Churyumov-Gerasimenko,Churyumov-Gerasimenko,67P,Snodgrass,GO10904
Asteroid.Ryugu,15,200193072,200194787,1716,,,,Asteroid.Ryugu,Ryugu,162173|Ryugu|1999 JU3,Kiss,GO15061
Asteroid.Trojan.2001 DU87,111|112,200113657,200134731,1700,,asteroid-Trojan,2001 DU87,Asteroid.Trojan.2001 DU87,2001 DU87,2001 DU87|63291,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Asteroid.Trojan.2001 SE182,111|112,200118031,200138874,1592,,asteroid-Trojan,2001 SE182,Asteroid.Trojan.2001 SE182,2001 SE182,156085|2001 SE182,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Asteroid.Trojan.1999 XM193,111|112,200109156,200131695,1573,,asteroid-Trojan,1999 XM193,Asteroid.Trojan.1999 XM193,1999 XM193,1999 XM193|20739,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Asteroid.Trojan.2001 OB100,111|112,200114979,200135824,1566,,asteroid-Trojan,2001 OB100,Asteroid.Trojan.2001 OB100,2001 OB100,2001 OB100|39301,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Asteroid.Trojan.Tuckia,111|112,200128178,200147343,1464,,asteroid-Trojan,Tuckia,Asteroid.Trojan.Tuckia,Tuckia,1038|1924 TK|Tuckia,Parker|Ryan,GO11100|GO11051
Asteroid.Trojan.1999 CL153,111|112,200108462,200130951,1373,,asteroid-Trojan,1999 CL153,Asteroid.Trojan.1999 CL153,1999 CL153,1999 CL153|59355,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Comet.Chiron,12,200161173,200164266,1350,,comet,Chiron,Comet.Chiron,Chiron,1977 UB|2060|Chiron,Ryan|Golden,GO12051|GO12033
TNO (250112) 2002 KY14,4,200006425,200007764,1340,,TNO, (250112) 2002 KY14,2002 KY14,250112,250112|2002 KY14,,
Comet.176P,12,200147538,200148831,1294,,comet,176P,Comet.176P,176P,,Golden,GO12033
TNO.1999 TS40,8,200063238,200064506,1269,,TNO,1999 TS40,TNO.1999 TS40,1999 TS40,1999 TS40|20628,Ryan,GO8010
Comet.228P,12,200158279,200159543,1265,,comet,228P,Comet.228P,228P,,Golden,GO12033
Asteroid.Trojan.1981 EK47,12,200148832,200150087,1256,,asteroid-Trojan,1981 EK47,Asteroid.Trojan.1981 EK47,1981 EK47,1981 EK47|30764,Ryan,GO12051
TNO.2007 RY194,8,200066687,200067921,1235,,TNO,2007 RY194,TNO.2007 RY194,2007 RY194,2007 RY194|402869,Ryan,GO8010
Asteroid.Trojan.2001 UK113,12,200155327,200156554,1228,,asteroid-Trojan,2001 UK113,Asteroid.Trojan.2001 UK113,2001 UK113,2001 UK113|55505,Ryan,GO12051
Asteroid.Trojan.2000 WW146,13,200169492,200170705,1214,,asteroid-Trojan,2000 WW146,Asteroid.Trojan.2000 WW146,2000 WW146,193449|2000 WW146,Ryan,GO13051
Asteroid.Hilda.2004 TN126,10,200077913,200079072,1160,,asteroid-Hilda,2004 TN126,Asteroid.Hilda.2004 TN126,2004 TN126,152133|2004 TN126,Ryan,GO10010
TNO.Quaoar,91|92,200068780,200069356,1154,,TNO,Quaoar,TNO.Quaoar,Quaoar,2002 LM60|50000|Quaoar,,
Asteroid.Trojan.1999 XS226,111|112,200109985,200132251,1115,,asteroid-Trojan,1999 XS226,Asteroid.Trojan.1999 XS226,1999 XS226,162352|1999 XS226,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Asteroid.Hilda.1992 ET32,10,200072855,200073967,1113,,asteroid-Hilda,1992 ET32,Asteroid.Hilda.1992 ET32,1992 ET32,1992 ET32|43818,Ryan,GO10010
Asteroid.Trojan.Ialmenus,111|112,200124693,200143749,1112,,asteroid-Trojan,Ialmenus,Asteroid.Trojan.Ialmenus,Ialmenus,1998 YW1|21602|Ialmenus,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Asteroid.Trojan.2001 OR24,111|112,200116820,200137412,1112,,asteroid-Trojan,2001 OR24,Asteroid.Trojan.2001 OR24,2001 OR24,124174|2001 OR24,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Comet.90P,12,200159544,200160634,1091,,comet,90P,Comet.90P,90P,,Golden,GO12033
Asteroid.Hilda.2000 DV76,10,200076283,200077338,1056,,asteroid-Hilda,2000 DV76,Asteroid.Hilda.2000 DV76,2000 DV76,2000 DV76|92284,Ryan,GO10010
